"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q34617","","6057","سان بيير وميكلون","সাঁ পিয়ের ও মিক‌লোঁ","Saint-Pierre und Miquelon","Saint Pierre and Miquelon","San Pedro y Miquelón","Saint-Pierre-et-Miquelon","Σαιν Πιερ και Μικελόν","साँ-प्येर और मीकेलों","Saint-Pierre és Miquelon","Saint Pierre dan Miquelon","Saint-Pierre e Miquelon","サンピエール島・ミクロン島","생피에르 미클롱","Saint-Pierre en Miquelon","Saint-Pierre i Miquelon","Saint-Pierre e Miquelon","Сен-Пьер и Микелон","Saint-Pierre och Miquelon","Saint Pierre ve Miquelon","Saint-Pierre và Miquelon","圣皮埃尔和密克隆群岛"
"Q414","","43417000","الأرجنتين","আর্জেন্টিনা","Argentinien","Argentina","Argentina","Argentine","Αργεντινή","अर्जेण्टीना","Argentína","Argentina","Argentina","アルゼンチン","아르헨티나","Argentinië","Argentyna","Argentina","Аргентина","Argentina","Arjantin","Argentina","阿根廷"
"Q34754","","4500000","صوماليلاند","সোমালিল্যান্ড","Somaliland","Somaliland","Somalilandia","Somaliland","Σομαλιλάνδη","सोमालीदेश","Szomáliföld","Somaliland","Somaliland","ソマリランド","소말릴란드","Somaliland","Somaliland","Somalilândia","Сомалиленд","Somaliland","Somaliland","Somaliland","索马里兰"
"Q35672","","54","جزر بيتكيرن","পীটকেয়ার্ন দ্বীপপুঞ্জ","Pitcairninseln","Pitcairn Islands","Islas Pitcairn","Îles Pitcairn","Νήσοι Πίτκερν","पिटकेम द्वीप समूह","Pitcairn-szigetek","Kepulauan Pitcairn","Isole Pitcairn","ピトケアン諸島","핏케언 제도","Pitcairneilanden","Pitcairn","Ilhas Pitcairn","Острова Питкэрн","Pitcairnöarna","Pitcairn Adaları","Quần đảo Pitcairn","皮特凯恩群岛"
"Q116970","","","مقاطعة الأمم المتحدة العازلة في قبرص","সাইপ্রাস জাতিসংঘ বাফার জোন","UN-Pufferzone in Zypern","United Nations Buffer Zone in Cyprus","Línea Verde","ligne verte","Πράσινη Γραμμή","संयुक्त राष्ट्र बफर क्षेत्र","Zöld vonal","United Nations Buffer Zone di Cyprus","Linea Verde","グリーンライン","유엔 키프로스 완충 지대","VN-Bufferzone","Zielona linia","Linha Verde","Зелёная линия","FN:s buffertzon på Cypern","Yeşil Hat","Vùng đệm Liên Hiệp Quốc ở Cộng hòa Síp","賽普勒斯聯合國緩衝區"
"Q126125","","35684","تجمع سان مارتين","","Saint-Martin","Saint Martin","San Martín","Saint-Martin","Άγιος Μαρτίνος","","Saint-Martin","Saint Martin","Saint-Martin","サン・マルタン","생마르탱","Sint-Maarten","Saint-Martin","São Martinho","Сен-Мартен","Saint Martin","Saint Martin","Saint-Martin","法屬聖馬丁"
"Q129003","","196","أراض فرنسية جنوبية وأنتارتيكية","","Französische Süd- und Antarktisgebiete","French Southern and Antarctic Lands","Tierras Australes y Antárticas Francesas","Terres australes et antarctiques françaises","Γαλλικά Νότια και Ανταρκτικά Εδάφη","दक्षिण फ्रांसीसी और अंटार्कटिक लैंड","Francia déli és antarktiszi területek","Daratan Selatan dan Antarktika Perancis","Terre australi e antartiche francesi","フランス領南方・南極地域","프랑스령 남방 및 남극","Franse Zuidelijke en Antarctische Gebieden","Francuskie Terytoria Południowe i Antarktyczne","Terras Austrais e Antárticas Francesas","Французские Южные и Антарктические территории","Franska sydterritorierna","Fransız Güney ve Antarktika Toprakları","Vùng đất phía Nam và châu Nam Cực thuộc Pháp","法属南部领地"
"Q165413","","73127","بايكونور","বাইকুনোর","Baikonur","Baikonur","Baikonur","Baïkonour","Μπαϊκονούρ","बायकोनूर","Bajkonur","Baykonur","Bayqoñyr","バイコヌール","바이코누르","Bajkonoer","Bajkonur","Baikonur","Байконур","Bajkonur","Baykonur","Baikonur","拜科努爾"
"Q419","","30375603","بيرو","পেরু","Peru","Peru","Perú","Pérou","Περού","पेरू","Peru","Peru","Perù","ペルー","페루","Peru","Peru","Peru","Перу","Peru","Peru","Peru","秘鲁"
"Q333946","","","نهر سياتشن الجليدي","সিয়াচেন হিমবাহ","Siachen-Gletscher","Siachen Glacier","Glaciar de Siachen","Glacier de Siachen","Παγετώνας Σιατσέν","सियाचीन","Siachen-gleccser","Siachen Glacier","ghiacciaio Siachen","シアチェン氷河","시아첸 빙하","Siachengletsjer","Lodowiec Siachen","Glaciar de Siachen","Сиачен","Siachen Glaciären","Siachen Buzulu","Sông băng Siachen","锡亚琴冰川"
"Q423","","24895480","كوريا الشمالية","উত্তর কোরিয়া","Nordkorea","North Korea","Corea del Norte","Corée du Nord","Βόρεια Κορέα","उत्तर कोरिया","Észak-Korea","Korea Utara","Corea del Nord","朝鮮民主主義人民共和国","조선민주주의인민공화국","Noord-Korea","Korea Północna","Coreia do Norte","Корейская Народно-Демократическая Республика","Nordkorea","Kuzey Kore","Cộng hòa Dân chủ Nhân dân Triều Tiên","朝鲜民主主义人民共和国"
"Q424","","15135169","كمبوديا","কম্বোডিয়া","Kambodscha","Cambodia","Camboya","Cambodge","Καμπότζη","कम्बोडिया","Kambodzsa","Kamboja","Cambogia","カンボジア","캄보디아","Cambodja","Kambodża","Camboja","Камбоджа","Kambodja","Kamboçya","Campuchia","柬埔寨"
"Q574","","1180069","تيمور الشرقية","পূর্ব তিমুর","Osttimor","East Timor","Timor Oriental","Timor oriental","Ανατολικό Τιμόρ","पूर्वी तिमोर","Kelet-Timor","Timor Leste","Timor Est","東ティモール","동티모르","Oost-Timor","Timor Wschodni","Timor-Leste","Восточный Тимор","Östtimor","Doğu Timor","Đông Timor","东帝汶"
"Q657","","12825314","تشاد","চাদ","Tschad","Chad","Chad","Tchad","Τσαντ","चाड","Csád","Chad","Ciad","チャド","차드","Tsjaad","Czad","Chade","Чад","Tchad","Çad","Tchad","乍得"
"Q668","","1339180127","الهند","ভারত","Indien","India","India","Inde","Ινδία","भारत","India","India","India","インド","인도","India","Indie","Índia","Индия","Indien","Hindistan","Ấn Độ","印度"
"Q664","","4793700","نيوزيلندا","নিউজিল্যান্ড","Neuseeland","New Zealand","Nueva Zelanda","Nouvelle-Zélande","Νέα Ζηλανδία","न्यूज़ीलैण्ड","Új-Zéland","Selandia Baru","Nuova Zelanda","ニュージーランド","뉴질랜드","Nieuw-Zeeland","Nowa Zelandia","Nova Zelândia","Новая Зеландия","Nya Zeeland","Yeni Zelanda","New Zealand","新西兰"
"Q691","","7321262","بابوا غينيا الجديدة","পাপুয়া নিউগিনি","Papua-Neuguinea","Papua New Guinea","Papúa Nueva Guinea","Papouasie-Nouvelle-Guinée","Παπούα Νέα Γουινέα","पापुआ न्यू गिनी","Pápua Új-Guinea","Papua Nugini","Papua Nuova Guinea","パプアニューギニア","파푸아뉴기니","Papoea-Nieuw-Guinea","Papua-Nowa Gwinea","Papua-Nova Guiné","Папуа-Новая Гвинея","Papua Nya Guinea","Papua Yeni Gine","Papua New Guinea","巴布亚新几内亚"
"Q709","","52634","جزر مارشال","মার্শাল দ্বীপপুঞ্জ","Marshallinseln","Marshall Islands","Islas Marshall","îles Marshall","Νησιά Μάρσαλ","मार्शल द्वीपसमूह","Marshall-szigetek","Kepulauan Marshall","Isole Marshall","マーシャル諸島","마셜 제도","Marshalleilanden","Wyspy Marshalla","Ilhas Marshall","Маршалловы Острова","Marshallöarna","Marshall Adaları","Quần đảo Marshall","馬紹爾群島"
"Q710","","102351","كيريباتي","কিরিবাস","Kiribati","Kiribati","Kiribati","Kiribati","Κιριμπάτι","किरिबाती","Kiribati","Kiribati","Kiribati","キリバス","키리바시","Kiribati","Kiribati","Kiribati","Кирибати","Kiribati","Kiribati","Kiribati","吉里巴斯"
"Q711","","3081678","منغوليا","মঙ্গোলিয়া","Mongolei","Mongolia","Mongolia","Mongolie","Μογγολία","मंगोलिया","Mongólia","Mongolia","Mongolia","モンゴル国","몽골","Mongolië","Mongolia","Mongólia","Монголия","Mongoliet","Moğolistan","Mông Cổ","蒙古国"
"Q717","","30405207","فنزويلا","ভেনেজুয়েলা","Venezuela","Venezuela","Venezuela","Venezuela","Βενεζουέλα","वेनेज़ुएला","Venezuela","Venezuela","Venezuela","ベネズエラ","베네수엘라","Venezuela","Wenezuela","Venezuela","Венесуэла","Venezuela","Venezuela","Venezuela","委內瑞拉"
"Q712","","881065","فيجي","ফিজি","Fidschi","Fiji","Fiyi","Fidji","Φίτζι","फ़िजी","Fidzsi-szigetek","Fiji","Figi","フィジー","피지","Fiji","Fidżi","Fiji","Фиджи","Fiji","Fiji","Fiji","斐濟"
"Q733","","6802295","باراغواي","প্যারাগুয়ে","Paraguay","Paraguay","Paraguay","Paraguay","Παραγουάη","पैराग्वे","Paraguay","Paraguay","Paraguay","パラグアイ","파라과이","Paraguay","Paragwaj","Paraguai","Парагвай","Paraguay","Paraguay","Paraguay","巴拉圭"
"Q730","","539276","سورينام","সুরিনাম","Suriname","Suriname","Surinam","Suriname","Σουρινάμ","सूरीनाम","Suriname","Suriname","Suriname","スリナム","수리남","Suriname","Surinam","Suriname","Суринам","Surinam","Surinam","Suriname","蘇利南"
"Q854","","20277597","سريلانكا","শ্রীলঙ্কা","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Σρι Λάνκα","श्रीलंका","Srí Lanka","Sri Lanka","Sri Lanka","スリランカ","스리랑카","Sri Lanka","Sri Lanka","Sri Lanka","Шри-Ланка","Sri Lanka","Sri Lanka","Sri Lanka","斯里蘭卡"
"Q858","","22845550","سوريا","সিরিয়া","Syrien","Syria","Siria","Syrie","Συρία","सीरिया","Szíria","Suriah","Siria","シリア","시리아","Syrië","Syria","Síria","Сирия","Syrien","Suriye","Syria","叙利亚"
"Q863","","8610000","طاجيكستان","তাজিকিস্তান","Tadschikistan","Tajikistan","Tayikistán","Tadjikistan","Τατζικιστάν","ताजिकिस्तान","Tádzsikisztán","Tajikistan","Tagikistan","タジキスタン","타지키스탄","Tadzjikistan","Tadżykistan","Tajiquistão","Таджикистан","Tadzjikistan","Tacikistan","Tajikistan","塔吉克斯坦"
"Q865","","23508362","تايوان","তাইওয়ান","Taiwan","Taiwan","Taiwán","Taïwan","Δημοκρατία της Κίνας","चीनी गणराज्य","Kínai Köztársaság","Republik Tiongkok","Taiwan","中華民国","중화민국","Taiwan","Republika Chińska","Taiwan","Китайская Республика","Taiwan","Çin Cumhuriyeti","Đài Loan","中華民國"
"Q869","","65931550","تايلاند","থাইল্যান্ড","Thailand","Thailand","Tailandia","Thaïlande","Ταϊλάνδη","थाईलैण्ड","Thaiföld","Thailand","Thailandia","タイ王国","태국","Thailand","Tajlandia","Tailândia","Таиланд","Thailand","Tayland","Thái Lan","泰国"
"Q874","","5125693","تركمانستان","তুর্কমেনিস্তান","Turkmenistan","Turkmenistan","Turkmenistán","Turkménistan","Τουρκμενιστάν","तुर्कमेनिस्तान","Türkmenisztán","Turkmenistan","Turkmenistan","トルクメニスタン","투르크메니스탄","Turkmenistan","Turkmenistan","Turquemenistão","Туркмения","Turkmenistan","Türkmenistan","Turkmenistan","土库曼斯坦"
"Q881","","91700000","فيتنام","ভিয়েতনাম","Vietnam","Vietnam","Vietnam","Viêt Nam","Βιετνάμ","वियतनाम","Vietnám","Vietnam","Vietnam","ベトナム","베트남","Vietnam","Wietnam","Vietname","Вьетнам","Vietnam","Vietnam","Việt Nam","越南"
"Q878","","9346129","الإمارات العربية المتحدة","সংযুক্ত আরব আমিরাত","Vereinigte Arabische Emirate","United Arab Emirates","Emiratos Árabes Unidos","Émirats arabes unis","Ηνωμένα Αραβικά Εμιράτα","संयुक्त अरब अमीरात","Egyesült Arab Emírségek","Uni Emirat Arab","Emirati Arabi Uniti","アラブ首長国連邦","아랍에미리트","Verenigde Arabische Emiraten","Zjednoczone Emiraty Arabskie","Emirados Árabes Unidos","Объединённые Арабские Эмираты","Förenade Arabemiraten","Birleşik Arap Emirlikleri","Các Tiểu vương quốc Ả Rập Thống nhất","阿拉伯联合酋长国"
"Q884","","51069375","كوريا الجنوبية","দক্ষিণ কোরিয়া","Südkorea","South Korea","Corea del Sur","Corée du Sud","Νότια Κορέα","दक्षिण कोरिया","Dél-Korea","Korea Selatan","Corea del Sud","大韓民国","대한민국","Zuid-Korea","Korea Południowa","Coreia do Sul","Республика Корея","Sydkorea","Güney Kore","Hàn Quốc","大韩民国"
"Q889","","31822848","أفغانستان","আফগানিস্তান","Afghanistan","Afghanistan","Afganistán","Afghanistan","Αφγανιστάν","अफ़्गानिस्तान","Afganisztán","Afganistan","Afghanistan","アフガニスタン","아프가니스탄","Afghanistan","Afganistan","Afeganistão","Афганистан","Afghanistan","Afganistan","Afghanistan","阿富汗"
"Q902","","156594962","بنغلاديش","বাংলাদেশ","Bangladesch","Bangladesh","Bangladés","Bangladesh","Μπανγκλαντές","बांग्लादेश","Banglades","Bangladesh","Bangladesh","バングラデシュ","방글라데시","Bangladesh","Bangladesz","Bangladesh","Бангладеш","Bangladesh","Bangladeş","Bangladesh","孟加拉国"
"Q912","","15301650","مالي","মালি","Mali","Mali","Malí","Mali","Μάλι","माली","Mali","Mali","Mali","マリ共和国","말리","Mali","Mali","Mali","Мали","Mali","Mali","Mali","马里共和国"
"Q916","","21471618","أنغولا","অ্যাঙ্গোলা","Angola","Angola","Angola","Angola","Ανγκόλα","अंगोला","Angola","Angola","Angola","アンゴラ","앙골라","Angola","Angola","Angola","Ангола","Angola","Angola","Angola","安哥拉"
"Q9143535","","","","","Akrotiri","Akrotiri","","","","","Akrotíri","","","","","","Akrotiri","","","","","",""
"Q9206745","","","ديكيليا كانتونمنت","দেখেলিয়া ক্যান্টনমেন্ট","Dekelia","Dhekelia Cantonment","Dekelia","Dhekelia","Ντεκέλια Κάντονμεντ","ढेकेलिया छावनी","Dekélia","Dhekelia Cantonment","Base di Dhekelia","デケリア","데켈리아 지역","Dhekelia Cantonment","Dhekelia","Dekelia","Декелия","Dhekelia","Dhekelia Kantonu","Căn cứ quân sự Dhekelia",""
"Q762570","","","قاعدة غوانتانامو","গুয়ানতানামো বে কারাগার নৌবাহিনী বেস","Guantanamo Bay Naval Base","Guantanamo Bay Naval Base","Base Naval de la Bahía de Guantánamo","base navale de la baie de Guantánamo","Ναυτική Βάση του Κόλπου του Γκουαντάναμο","ग्वांटानैमो खाड़ी नौसेना बेस","guantánamói haditengerészeti támaszpont","Pangkalan Laut Teluk Guantanamo","Base navale di Guantanamo","グァンタナモ米軍基地","관타나모 만 해군 기지","Guantánamo Bay","Naval Station Guantanamo Bay","Base Naval da Baía de Guantánamo","Военная база Гуантанамо","Guantánamobasen","Guantanamo Bay","Căn cứ Hải quân vịnh Guantánamo",""
"Q16","","35702707","كندا","কানাডা","Kanada","Canada","Canadá","Canada","Καναδάς","कनाडा","Kanada","Kanada","Canada","カナダ","캐나다","Canada","Kanada","Canadá","Канада","Kanada","Kanada","Canada","加拿大"
"Q734","","799613","غيانا","গায়ানা","Guyana","Guyana","Guyana","Guyana","Γουιάνα","गयाना","Guyana","Guyana","Guyana","ガイアナ","가이아나","Guyana","Gujana","Guiana","Гайана","Guyana","Guyana","Guyana","圭亚那"
"Q17","","127110047","اليابان","জাপান","Japan","Japan","Japón","Japon","Ιαπωνία","जापान","Japán","Jepang","Giappone","日本","일본","Japan","Japonia","Japão","Япония","Japan","Japonya","Nhật Bản","日本"
"Q739","","47704427","كولومبيا","কলম্বিয়া","Kolumbien","Colombia","Colombia","Colombie","Κολομβία","कोलम्बिया","Kolumbia","Kolombia","Colombia","コロンビア","콜롬비아","Colombia","Kolumbia","Colômbia","Колумбия","Colombia","Kolombiya","Colombia","哥伦比亚"
"Q736","","15737878","الإكوادور","ইকুয়েডর","Ecuador","Ecuador","Ecuador","Équateur","Εκουαδόρ","ईक्वाडोर","Ecuador","Ekuador","Ecuador","エクアドル","에콰도르","Ecuador","Ekwador","Equador","Эквадор","Ecuador","Ekvador","Ecuador","厄瓜多尔"
"Q750","","10671200","بوليفيا","বলিভিয়া","Bolivien","Bolivia","Bolivia","Bolivie","Βολιβία","बोलिविया","Bolívia","Bolivia","Bolivia","ボリビア","볼리비아","Bolivia","Boliwia","Bolívia","Боливия","Bolivia","Bolivya","Bolivia","玻利維亞"
"Q754","","1341151","ترينيداد وتوباغو","ত্রিনিদাদ ও টোবাগো","Trinidad und Tobago","Trinidad and Tobago","Trinidad y Tobago","Trinité-et-Tobago","Τρινιντάντ και Τομπάγκο","त्रिनिदाद और टोबैगो","Trinidad és Tobago","Trinidad dan Tobago","Trinidad e Tobago","トリニダード・トバゴ","트리니다드 토바고","Trinidad en Tobago","Trynidad i Tobago","Trinidad e Tobago","Тринидад и Тобаго","Trinidad och Tobago","Trinidad ve Tobago","Trinidad và Tobago","千里達及托巴哥"
"Q20","","5213985","النرويج","নরওয়ে","Norwegen","Norway","Noruega","Norvège","Νορβηγία","नॉर्वे","Norvégia","Norwegia","Norvegia","ノルウェー","노르웨이","Noorwegen","Norwegia","Noruega","Норвегия","Norge","Norveç","Na Uy","挪威"
"Q760","","182273","سانت لوسيا","সেন্ট লুসিয়া","St. Lucia","Saint Lucia","Santa Lucía","Sainte-Lucie","Αγία Λουκία","सेंट लूसिया","Saint Lucia","Saint Lucia","Saint Lucia","セントルシア","세인트루시아","Saint Lucia","Saint Lucia","Santa Lúcia","Сент-Люсия","Saint Lucia","Saint Lucia","Saint Lucia","圣卢西亚"
"Q757","","109373","سانت فينسنت والغرينادين","সেন্ট ভিনসেন্ট ও গ্রেনাডাইন দ্বীপপুঞ্জ","St. Vincent und die Grenadinen","Saint Vincent and the Grenadines","San Vicente y las Granadinas","Saint-Vincent-et-les-Grenadines","Άγιος Βικέντιος και Γρεναδίνες","सन्त विन्सेण्ट और ग्रेनाडाइन्स","Saint Vincent és a Grenadine-szigetek","Saint Vincent dan Grenadines","Saint Vincent e Grenadine","セントビンセント・グレナディーン","세인트빈센트 그레나딘","Saint Vincent en de Grenadines","Saint Vincent i Grenadyny","São Vicente e Granadinas","Сент-Винсент и Гренадины","Saint Vincent och Grenadinerna","Saint Vincent ve Grenadinler","Saint Vincent và Grenadines","圣文森特和格林纳丁斯"
"Q28","","9817958","المجر","হাঙ্গেরি","Ungarn","Hungary","Hungría","Hongrie","Ουγγαρία","हंगरी","Magyarország","Hongaria","Ungheria","ハンガリー","헝가리","Hongarije","Węgry","Hungria","Венгрия","Ungern","Macaristan","Hungary","匈牙利"
"Q27","","4588252","جمهورية أيرلندا","প্রজাতন্ত্রী আয়ারল্যান্ড","Irland","Ireland","Irlanda","Irlande","Δημοκρατία της Ιρλανδίας","आयरलैण्ड","Írország","Republik Irlandia","Irlanda","アイルランド","아일랜드","Ierland","Irlandia","República da Irlanda","Ирландия","Irland","İrlanda","Cộng hòa Ireland","爱尔兰共和国"
"Q769","","105897","غرينادا","গ্রেনাডা","Grenada","Grenada","Granada","Grenade","Γρενάδα","ग्रेनाडा","Grenada","Grenada","Grenada","グレナダ","그레나다","Grenada","Grenada","Granada","Гренада","Grenada","Grenada","Grenada","格林纳达"
"Q774","","15468203","غواتيمالا","গুয়াতেমালা","Guatemala","Guatemala","Guatemala","Guatemala","Γουατεμάλα","ग्वाटेमाला","Guatemala","Guatemala","Guatemala","グアテマラ","과테말라","Guatemala","Gwatemala","Guatemala","Гватемала","Guatemala","Guatemala","Guatemala","危地马拉"
"Q778","","377374","باهاماس","বাহামা দ্বীপপুঞ্জ","Bahamas","The Bahamas","Bahamas","Bahamas","Μπαχάμες","बहामास","Bahama-szigetek","Bahama","Bahama","バハマ","바하마","Bahama's","Bahamy","Bahamas","Багамские Острова","Bahamas","Bahamalar","Bahamas","巴哈马"
"Q29","","46528024","إسبانيا","স্পেন","Spanien","Spain","España","Espagne","Ισπανία","स्पेन","Spanyolország","Spanyol","Spagna","スペイン","스페인","Spanje","Hiszpania","Espanha","Испания","Spanien","İspanya","Tây Ban Nha","西班牙"
"Q30","","323952889","الولايات المتحدة","মার্কিন যুক্তরাষ্ট্র","Vereinigte Staaten","United States of America","Estados Unidos","États-Unis","Ηνωμένες Πολιτείες Αμερικής","संयुक्त राज्य अमेरिका","Amerikai Egyesült Államok","Amerika Serikat","Stati Uniti d'America","アメリカ合衆国","미국","Verenigde Staten van Amerika","Stany Zjednoczone","Estados Unidos","Соединённые Штаты Америки","USA","Amerika Birleşik Devletleri","Hoa Kỳ","美国"
"Q786","","10403761","جمهورية الدومينيكان","ডোমিনিকান প্রজাতন্ত্র","Dominikanische Republik","Dominican Republic","República Dominicana","République dominicaine","Δομινικανή Δημοκρατία","डोमिनिकन गणराज्य","Dominikai Köztársaság","Republik Dominika","Repubblica Dominicana","ドミニカ共和国","도미니카 공화국","Dominicaanse Republiek","Dominikana","República Dominicana","Доминиканская Республика","Dominikanska republiken","Dominik Cumhuriyeti","Cộng hòa Dominica","多明尼加"
"Q783","","8097688","هندوراس","হন্ডুরাস","Honduras","Honduras","Honduras","Honduras","Ονδούρα","हौण्डुरस","Honduras","Honduras","Honduras","ホンジュラス","온두라스","Honduras","Honduras","Honduras","Гондурас","Honduras","Honduras","Honduras","洪都拉斯"
"Q31","","11150516","بلجيكا","বেলজিয়াম","Belgien","Belgium","Bélgica","Belgique","Βέλγιο","बेल्जियम","Belgium","Belgia","Belgio","ベルギー","벨기에","België","Belgia","Bélgica","Бельгия","Belgien","Belçika","Bỉ","比利时"
"Q792","","6340454","السلفادور","এল সালভাদোর","El Salvador","El Salvador","El Salvador","Salvador","Ελ Σαλβαδόρ","अल साल्वाडोर","El Salvador","El Salvador","El Salvador","エルサルバドル","엘살바도르","El Salvador","Salwador","El Salvador","Сальвадор","El Salvador","El Salvador","El Salvador","萨尔瓦多"
"Q790","","10317461","هايتي","হাইতি","Haiti","Haiti","Haití","Haïti","Αϊτή","हैती","Haiti","Haiti","Haiti","ハイチ","아이티","Haïti","Haiti","Haiti","Республика Гаити","Haiti","Haiti","Haiti","海地"
"Q32","","543360","لوكسمبورغ","লুক্সেমবুর্গ","Luxemburg","Luxembourg","Luxemburgo","Luxembourg","Λουξεμβούργο","लक्ज़मबर्ग","Luxemburg","Luksemburg","Lussemburgo","ルクセンブルク","룩셈부르크","Luxemburg","Luksemburg","Luxemburgo","Люксембург","Luxemburg","Lüksemburg","Luxembourg","卢森堡"
"Q796","","33417476","العراق","ইরাক","Irak","Iraq","Irak","Irak","Ιράκ","इराक़","Irak","Irak","Iraq","イラク","이라크","Irak","Irak","Iraque","Ирак","Irak","Irak","Iraq","伊拉克"
"Q794","","77447168","إيران","ইরান","Iran","Iran","Irán","Iran","Ιράν","ईरान","Irán","Iran","Iran","イラン","이란","Iran","Iran","Irão","Иран","Iran","İran","Iran","伊朗"
"Q34","","9954420","السويد","সুইডেন","Schweden","Sweden","Suecia","Suède","Σουηδία","स्वीडन","Svédország","Swedia","Svezia","スウェーデン","스웨덴","Zweden","Szwecja","Suécia","Швеция","Sverige","İsveç","Thụy Điển","瑞典"
"Q33","","5501043","فنلندا","ফিনল্যান্ড","Finnland","Finland","Finlandia","Finlande","Φινλανδία","फ़िनलैण्ड","Finnország","Finlandia","Finlandia","フィンランド","핀란드","Finland","Finlandia","Finlândia","Финляндия","Finland","Finlandiya","Phần Lan","芬兰"
